plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
BEEEEAT,,MUSICAL MEANING,BEAT COULD MEAN TO WIN OR A SEXUAL REFERENCE,N,Y,Approved
BLASE7,,"INDIFFERENT TO OR BORED WITH LIFE; NIMPRESSED, AS OR AS IF FROM AN EXCESS OF WORLDLY PLEASURES",BLAZE AS IN SMOKE,N,Y,Approved
BLUBLR1,,BLUE BLUR #1,BLUE BALLS,N,Y,Approved
CHIO BU,,GOOD LOOKING,CAN NOT TRASNLATE,Y,N,invalid characters
DUTYONU,,"FORD SUPER DUTY, ONE UP SUSPENSION",SHIT ON YOU,N,Y,Approved
FTB,,FOR THE BOYS. THIS ESSENTIALLY MEANS THAT ME AND MY FRIENDS LOOK FORWARD TO THE WEEKEND AS WORKING 9-5 GETS OLD.,FUCK THAT BITCH,N,Y,Approved
GTABLST,,GOTTA BLAST FROM JIMMY NEUTRON CARTOON,BLAST SMOKE GRAND TTEFT AUTO,N,Y,Approved
G888,,LUCKY,G AS IN GANGSTER,N,Y,Approved
HNT 4 FD,,HUNT FOR FOOD,HUNT,Y,N,invalid length
IFTFKWU,,,I DON’T FUCK WITH YOU,N,Y,Approved
IMABECH,,I'M A BEACH,IM A BITCH,N,Y,Approved
INSDEUS,,INSIDIOUS,INSIDEOUS EVIL MEAN,N,Y,Approved
I1O1IO,,"LUCKY NUMBERS AND NICK NAME PLEASE SPACE EVENLY ON BOTH SIDES SO CENTERED, THANK YOU)",LOOK A LIKE,N,Y,Approved
JEWSTIS,,MY NAME.,JEW,Y,N,contains the restricted letter combinationJEW
JUICY64,,JULIUS 64,JUICY,N,Y,Approved
JZZLE77,,MY BEST FRIEND. RIP,JIZZLE,N,Y,Approved
KTYYKAT,,NICKNAME,KITTY CAT,N,Y,Approved
LUVNHWD,,LOVE NORTH HOLLYWOOD,LOVING HEAD WHILE DRIVING,N,Y,Approved
MGKDUST,,MAGIC DUSTER,MAGIC DUST,N,Y,Approved
MRDRMER,,MY FATHER'S CHILDHOOD NICKNAME,MURDER,N,Y,Approved
NDOKANU,,LAST NAME,INDO WEED,N,Y,Approved
NIBBLE1,,MY PUPPIES NAME,EAT,N,Y,Approved
NISMO14,,NISSAN MOTORSPORTS INTERNATIONAL 14,14 GANG REFERENCE,N,Y,Approved
OGCC64,,ORI-GINAL COLTON CLASSIC 64,OG ORIGINAL GANGSTER,N,Y,Approved
OGHYBRD,,ORIGINAL HYBRID VEHICLE,OG ORGINAL GANGSTER,N,Y,Approved
ORITWIZ,,ORANGE IT WIZARD LLC,WIZ PEE,N,Y,Approved
PHACUE2,,NICKNAME -,FUCK YOU TOO,N,Y,Approved
PHT DUCK,,NICKNAME,FAT DUCK,Y,N,invalid length
PON FARR,,VULCAN COMING OF AGE,REPRODUCTIVE CYCLE FOR VULCANS STAR TREK,Y,N,invalid length
QOOOQOO,,I LIKE THE PLATE,LOOKA  LIKE,N,Y,Approved
QUIET XF,,QUIET JAGUAR XF,QUIET AS FUCK,Y,N,invalid length
RED DOG 2,,ITS OUR SECOND RED TRUCK TO DRIVE OUR DOGS,RED,Y,N,invalid length
R8RH8R1,,FOOTBALL,RAIDER HATER,N,Y,Approved
SCKIT69,,JUST SOMETHING I WANT. SC FOR SOUTHERN CALIFORNIA. KIT BASED OF KNIGHT RIDER TV SHOW. 69 FOR FAVORITE YEAR OF CHEVY CAMARO.,SUCK IT 69,N,Y,Approved
SCLBUZZ,,BLACK YELLOW FAMILY JEEP(BUMBLE BEE),BUZZ HIGH,N,Y,Approved
SEA DIVE,,ALTERNATE TO SCUBA DIVING,SEXUAL REFERENCE,Y,N,invalid length
SMASHRS,,MY NAME IN A GAME I PLAY,SMASH A SEXUALREFERENCE,N,Y,Approved
SUIRPUF,,PERSONAL SAYING,PUF SMOKE,N,Y,Approved
S8NLFNG,,"SATAN LAUGHING, SONG LYRICS, NAME OF MY WEBSITE",SATAN LAUGHING,N,Y,Approved
THIEN88,,HIEN88,88 HITLER REFRENCE,N,Y,Approved
TNH8Z8,,INITIALS AND LUCKY NUMBERS,HATE,N,Y,Approved
TRDTAKO,,TRD TACOMA AND TACO IS OCTOPUS IN JAPANESE,TACO,N,Y,Approved
TRQ KING,,TORQUE,TRUCK KING TORQUW KING,Y,N,invalid length
TRQUE KG,,TORQUE KING,TRUCK KING,Y,N,invalid length
UPRCUT1,,WINNING BUSINESS NAME,UPPER CUT,N,Y,Approved
URA4EEK,,4 WHEEL DRIVIN FREEK,YOURE A FREAK,N,Y,Approved
UUFF DA,,OH MY,CAN NOT TRANSLATE,Y,N,invalid characters
WEDGY,,RESEMBLING A WEDGE; WEDGE-LIKE,WEDGY,N,Y,Approved
YOGI CAT,,I TEACH YOGA AND LOVE CATS,CAT,Y,N,invalid length
1II111I,,MY LUCKY NUMBER,LOOK A LIKE,N,Y,Approved
2WDBLZR,,STYLE OF TRUCK,BLAZER SMOKER,N,Y,Approved
415IVER,,MEANING I AM FROM THE AREA CODE 415,415 AREA CODE,N,Y,Approved
5IVEOHH,,THE ENGINE TO MY CAR IM GETTING THESE FOR IS A 5.0,5O COULD MEAN COP OR MUSTANG,N,Y,Approved
666ISHH,,DEVILISH,666 SHIT,N,Y,Approved
7O CUUDA,,1970 PLYMOUTH CUDA,CUDA,Y,N,invalid length
8SLICK8,,JUST A SAYING LIKE HEY SLICK,88 HITLER REFERENCE,N,Y,Approved
5JT&O13,,JOE TRESA OLIVIER WEDDING ANNIV MAY 13,13 GANG REFRENCE,Y,N,invalid characters
DUCHSS,,DUCHESS OF REAL ESTATE,DUCHESS OR DUTCH AS IN WEED,N,Y,Approved
GO BLUU,,UNIVERSITY OF MICHIGAN RALLY PHRASE,BLUE,Y,N,invalid characters
BLUGOLD,,COLORS OF CALIFORNIA HIGHWAY PATROL OF WHICH INAM AN EMPLOYEE,BLUE,Y,N,"[('god', 85.71428571428572, 436)]"
TEKILYA,,TEQUILA,TEQUILA,N,Y,Approved
40 WATA,,NICKNAME,E40 RAPPER NAMED AFTER ENGLISH,Y,N,invalid characters
9LEVEN,,AUTOS MODEL,9-11 MEMORIAL OR 911 EMERGENCY,N,Y,Approved
TRIGRII,,TRIGGER WAS THE NAME OF ROY ROGERS HORSE. I LOVED THAT SHOW AS A KID.,TRIGGER,N,Y,Approved
EHDWDGO,,EDDIE WOULD GO REFERS TO THE HAWAIIAN SURFER/ LIFEGUARD WHO RESCUED MANY PEOPLE,DAYGO,N,Y,Approved
XLR ATE,,ACCELERATE,ACCELERATE,Y,N,invalid characters
BL CAT7,1,no meaning on Reg 17,"cat=pussy, Honda on ani",Y,N,invalid characters
BYANY MN,2,not on quickweb,by any means necessary,Y,N,invalid length
MFG1515,3,initials + address,MFG=MOTHERFUCKING. BUT IT IS HIS INITIALS (AND HIS ADDRESS),N,Y,Approved
MOOKAZ,7D,DAUGHTER NICKNAME,MOOCAH=MARIJUANA (IN URBAN DICTIONARY AND DICTIONARY.COM),N,Y,Approved
ROLLA 33,1,not on quickweb,"ROLLA COULD BE A COROLLA BUT NO TOYOTA ON ANI, URBAN DICTIONARY SAYS ROLLA IS A HO",Y,N,invalid length
AADAAMM,3,MY NAME,DAMN,N,Y,Approved
BI POLR,2,I HAVE LIVED ON BOTH THE NORTH AND SOUTH POLES.,BI POLAR,Y,N,invalid characters
B L MATR,4,NICKNAME,POLITICAL- BLACK LIVES MATTER,Y,N,invalid length
BZZZE,2,"MY NICKNAME FOR EDDY""",BUZZ?,N,Y,Approved
ELEMN8R,2,ELIMINATOR- NAME OF BOAT,"ELIMINATOR=KILLER (auto plate, not trailer)",N,Y,Approved
ELITE CP,5,NO MEANING ON REG 17,ELITE COP,Y,N,invalid length
EMILY14,2,DAUGHTERS NAME,"14=HATE SYMBOL, NO 2014 CAR ON ANI",N,Y,Approved
FRVR858,2,FOREVER 858,SAN DIEGO AREA CODE,N,Y,Approved
GOT MUUD,7D,MY SON IS A CEMENT MASON,"MUD CAN HAVE DRUG CONNOTATIONS, HAS HONDA AND BUICK NO JEEP OR TRUCK",Y,N,invalid length
HCTBVOM,3,HE CANT BELIEVE OM-ITS A YOGA EXPRESSION,MOVE BITCH-BACKWARDS,N,Y,Approved
IH823PT,2,I HATE TO THREE-PUTT,HATE,N,Y,Approved
KIRMF,3,INITIALS OF A LOVED ONE WHO PASSED,KEEP IT REAL MOTHERFUCKER,N,Y,Approved
L8XT8R,2,MY NICKNAME: LEXTER88. PLEASE CENTER ALL 6 CHARACTERS WITHIN THE PLATE AS MUCH AS POSSIBLE. THANK YOU,"88=HATE SYMBOL, NO 88 CAR ON ANI",N,Y,Approved
O168OY1,7B,THIS CONFIGURATION ISNT A CHOICE ON CUSTOMERS REG 17,"DOES THIS LOOK LIKE ""OLDBOY"" ? SUBSTITUTING, OLDBOY1 NOT OUT THERE THOUGH…",N,Y,Approved
SCHIZAH,3,THIS IS MY NICKNAME.,SHIT IN GERMAN,N,Y,Approved
SHECID1,7D,DAUGHTER NAME,CID=SLANG FOR LSD,N,Y,Approved
XIII13,2,1313 means yours,13=GANG,N,Y,Approved
1WOODS3,1 OR 2,MI NICKNAME AND FAVORITE NUMBERS,"WOODS, LIKE WOODY (NAME IS LUIS ALBA) ALSO 13=GANG NUMBER",N,Y,Approved
22AJUAH,3,22(YEAR OLD)JOSHUA,HAUL ASS BACKWARDS,N,Y,Approved
3LOHZ2A,3,MOTHER FIGHTING FOR BREAST CANCER FOR 3 YEARS (MEANING OF 3 ) AND HER LAST NAME IS L O Z A,ASSHOLE BACKWARDS,N,Y,Approved
7O7VAKA,2,DIGITS ARE MY AREA CODE AND VAKA IS MY HUSBANDS LAST NAME.,707=CALISTOGA AREA CODE,N,Y,Approved
YOCABRN,3,(ILLEGIBLE) BATASS,"YO CABRON (CABRON=BASTARD, ASSHOLE IN SPANISH)",N,Y,Approved
2PELANA,3,FRIEND #2,"PELANA, URBAN DICTIONARY SAYS IT MEANS 'FUCK YOUR MOTHER' IN SPANISH",N,Y,Approved
NAM22A,1,NORTH AMERICA MOTORSPORTS CHAPTER 22 GROUP A,ASSMAN BACKWARDS,N,Y,Approved
BAJA TRP,1,NOT ON QUICKWEB YET,TRP=TENTACLE RAPE PORN. CUSTOMER LIVES IN DEL MAR (SAN DIEGO),Y,N,invalid length
4DTFTRK,1,FORD TOUGH TRUCK,"DTF=DOWN TO FUCK, does have a ford truck",N,Y,Approved
88VVV88,2,LUCKY,88=HATE SYMBOL,N,Y,Approved
DUCTYOU,3,HAS TO DO WITH HEATING AND AIR CONDITIONING,FUCKED YOU,N,Y,Approved
BRAEBRN,1,,"""BRAE"" COULD HAVE SEXUAL CONNOTATION",Y,N,contains the restricted letter combinationBRA
AV 67,1,,"""AV"" ACCORDING TO URBAN DICTIONARY COULD HAVE SEXUAL CONNOTATION",Y,N,invalid characters
ATOM 3S,1,,ACCORDING TO URBAN DICTIONARY COULD HAVE SEXUAL CONNOTATION,Y,N,invalid characters
GOOSE13,2,PERTAINING TO A NICKNAME,13 = GANG NUMBER,N,Y,Approved
HULK7O7,2,HULK IS A CARTOON CHARACTERA AND MY DODGE HELLCAT STOCK HP IS 707,707 = AREA CODE,N,Y,Approved
MURRRDR,2,,MURDER,N,Y,Approved
MYTHNGY,1,"I HAVE A 1973 VOLKSWAGEN THING. IT'S SIMILAR TO A VW BUGGY. I WANTED ""MYTHING"" BUT ITS ALREADY TAKEN. SO I WOULD LIKE ""MYTHINGY"".",MY THINGY COULD HAVE SEXUAL CONNOTATION,N,Y,Approved
NTSTLKR,2,NIGHT STALKER,NIGHT STALKER,N,Y,Approved
PIRO,2,,PYROMANIAC,N,Y,Approved
PRADO88,2,LAST NAME AND YEAR I WAS BORN,88 = HATE NUMBER,N,Y,Approved
RD51O,2,ROBERT DORRIS DATSUN 510 SEDAN,510 = AREA CODE,N,Y,Approved
REAL1B,3,NICKNAME,ONE REAL BITCH,N,Y,Approved
RJ13 32H,2,LUCKY NUMBER,13 = GANG NUMBER,Y,N,invalid length
ROLLO 2,2,DOGS NAME,"ACCORDING TO URBAN DICTIONARY, ROLLO CAN BE SLANG FOR TESTICLES",Y,N,invalid characters
SAWGNNR,2,MILITARY REFERRNCE,SAW GUNNER,N,Y,Approved
SBCOCO9,7D,,COCO SLANG FOR COCAINE,Y,N,contains the restricted letter combinationCOC
Y2KHUMR,1,,HUMMER COULD HAVE SEXUAL CONNOTATION,N,Y,Approved
13 CMARO,2,2013 CAMARO,13 = GANG NUMBER,Y,N,invalid length
88FISHN,2,"FAVORITE NUMBER FAVORITE SPORT ""FISHING""",88 = HATE NUMBER,N,Y,Approved
BOSS AC,2,,PULLED FOR BOSS,Y,N,invalid characters
WOODYYY,1,,WOODY COULD HAVE SEXUAL CONNOTATION,N,Y,Approved
DKITTY3,1,,PULLED FOR KITTY,N,Y,Approved
IEATROX,7D,I OWN A JEEP AND THIS IS IN REFERENCE TO 4X4ING ON THE ROCKS IN THE MOUNTAINS.,COULD BE DRUG REFERNCE,N,Y,Approved
PCH13,2,OLD PLATE FRON INDIA,13 = GANG NUMBER,N,Y,Approved
SHESELS,7D,SHE SELLS (I AM A SALESPERSON),SHE SELLS?,Y,N,"[('bishes', 90.0, 953)]"
YNG BOSS,2,I'M A YOUNG ENTREPRENEUR AND A TWENTY YEAR OLD BUSINESS OWNER! YOUNG BOSS :),PULLED FOR BOSS,Y,N,invalid length
BAD CAT3,1,"BAD CAT, AS IN MY CAR IS COOL BECAUSE IT HAS HELLO KITTY INTERIOR.",PULLED FOR CAT,Y,N,invalid length
I4 OHANA,2,IRWIN FAMILY,"I4,14? GANG NUMBER",Y,N,invalid length
LEXI42O,7D,NAME OF MY CAR,420 = MARIJUANA REFERENCE,N,Y,Approved
3JOHZZ8,3,DIFFERENT LETTERS AND NUMBERS OF FAMILY.,ASSHOLE,N,Y,Approved
NTSTLKR,,,,,Y,Approved
AK313,2,PERSONAL,"AK, GUN REFERENCE",N,Y,Approved
BATMOB4,2,I'M A BIG FAN OF BATMAN SINCE I WAS A KID  AND NUMBER 4 BECAUSE MY LUCKY NUMBER.,"MOB, GANG REFERENCE",N,Y,Approved
BATMOB7,2,BLACK CAR LOOKS LIKE BATMOBILE AND IS A 2007 MODEL YEAR,"MOB, GANG REFERENCE",N,Y,Approved
BOPS64,1,MY GRANDFATHERS 1964 CHEVY CORVAIR,BOPS IS A SEXUAL TERM MEANING TO GIVE HEAD OR IS A DEROGATORY TERM FOR A WOMAN WHO GIVES HEAD TO ANYONE,N,Y,Approved
BUDCLUB,7D,WE REFER TO OUR SONS AS BUDS. THE BUD CLUB IS WHAT WE DESCRIBE OURSELVES AS.,"BUD, MARIJUANA, DRUG REFERENCE",N,Y,Approved
DIESELG,2,MERCEDES BENZ DIESEL G CLASS.,"G, GANG REFERENCE",Y,N,contains the restricted letter combinationDIE
ECOFTW,3,ECONOMY FOR THE WIN.,"FTW COULD STAND FOR ""FOR THE WIN"" BUT COULD ALSO STAND FOR ""FUCK THE WORLD""",N,Y,Approved
FDAY13,2,FRIDAY THE 13TH. 13 IS MY LUCKY NUMBER AND  ALL THE OTHER COMBINATIONS WERE TAKEN,"13, GANG REFERENCE",N,Y,Approved
FKNJAYY,3,NICK NAME,FUCKING JAY,N,Y,Approved
FNTO187,3,,FN COULD MEAN FUCKING,N,Y,Approved
GRMPA88,2,GRUMPPA 88THE NUMBER OF HIS SOFTBALL JERSEY,"88, GANG REFERENCE",N,Y,Approved
GSALIN,2,,"G, GANG REFERENCE",N,Y,Approved
HIGH42O,7D,HAPPY,DRUG REFERENCE,N,Y,Approved
HIRSK18,2,,"18, GANG REFERENCE",N,Y,Approved
H82THDK,2,,"HATE, HOSTILE",N,Y,Approved
LAM6688,2,JUST FOR FUN,"88, GANG REFERENCE",N,Y,Approved
MEI88,2,,"88, GANG REFERENCE",N,Y,Approved
NUTMFG,1,MY COMPANY MANUFACTURERS NUT  HARVESTING EQUIPMENT,"NUT, SEXUAL",N,Y,Approved
OSO13,2,OH SO LUCKY,"13, GANG REFERENCE",N,Y,Approved
RJM1O14,2,MY INITIAL AND MY BIRTHDAY,"14, GANG REFERENCE",N,Y,Approved
SIKSS,1,FAST SS CAMARO,COULD MEAN SICK ASS,N,Y,Approved
TP3SQ69,1,,"69, SEXUAL REFERENCE",N,Y,Approved
UH8HUH,2,YOU HATE HUH?,"H8, HATE, HOSTILE",N,Y,Approved
WUTT8O5,2,,AREA CODE,N,Y,Approved
1JAGNUT,1,ONE JAGUAR NUT,"NUT, SEXUAL",N,Y,Approved
13VIPER,2,2013 DODGE VIPER,"13, GANG REFERENCE",Y,N,"[('sniper', 90.0, 806)]"
22A3DIW,3,"COORDINATE POSITION ""DEAD IN WATER""",WIDE ASS BACKWARDS,N,Y,Approved
3IQH22A,3,310 AREA CODE HOLLYWOOD 22 YEARS OLD,ASSHOLE BACKWARDS,N,Y,Approved
3JOHS5A,3,PERSONAL,ASSHOLE BACKWARDS,N,Y,Approved
44IVY13,2,,"13, GANG REFERENCE",N,Y,Approved
FRVR18,2,18 YEARS OLD FOREVER,"18, GANG REFERENCE",N,Y,Approved
3LILBZ,3,LOVE 3 LITTLE B'S (MY KIDS NAMES ALL START  WITH B),"BZ CAN STAND FOR BITCH, COULD BE THREE LITTLE BITCHES",N,Y,Approved
18DW3,2,MILITARY OCCUPATIONAL SPECIALTY,"18, GANG REFERENCE",N,Y,Approved
HIF4LFE,7D,HEARTS IN FOCUS FOR LIFE,HI FOR LIFE,N,Y,Approved
MDSOMA,7D,CHILDREN'S FIRST INITIAL NAMES,"SOMA IS A MUSCLE RELAXER, DRUG REFERENCE",N,Y,Approved
SRUOYPU,2,SENIOR YOU OR YIPPIE YOU,"UP YOURS BACKWARDS, OFFENSIVE",N,Y,Approved
XILRATD,1,EXHILARATED,SOME COUD TAKE IT AS SEXUAL,Y,N,contains the restricted letter combinationRAT
APXSLYR,2,ABBREVIATED FOR APEX SLAYER. APEX IS THE  RACING LINE ON A ROAD OR RACETRACK AND APXHNTR IS ALREADY TAKEN.,"SLAYER, HOSTILE",N,Y,Approved
77ZZ77Z,6,NO MEANING. INTERESTING PATTERN.,ALL THE LETTERS AND NUMBERS LOOK THE SAME,N,Y,Approved
BLKBTT1,1,BLACK BETTY 1. IT'S A BLACK TRUCK AND MY WIFE NAMED HER BETTY.,LOOKS LIKE BLACK BUTT/BOOTY,N,Y,Approved
BUSTED,2,ARRESTED,"BUSTED CAN MEAN GETTING CAUGHT DOING SOMETHING YOU ARE NOT SUPOSSED TO BE DOING BUT IT CAN ALSO BE A DEROGATORY TERM FOR AN ""UGLY WOMAN""",Y,N,"[('waysted', 90.0, 873)]"
C12GDBB,2,CAITLIN BORN ON THE 12TH - IN THE YEAR OF THE GOLDEN DRAGON - AS A BABY,"C12 IS A TYPE OF EXPLOSIVE, WEAPON REFERENCE",N,Y,Approved
DA5OH,5,"THE REFERENCE ""DA50H"" STAND FOR THE TYPE OF MOTOR IN MY VEHICLE. ""DA"" IS ANOTHER WORD FOR ""THE"" ""5OH"" IN ANOTHER WORDS MEAN FIVE-O REFERRING TO FIVE LITER MOTOR.","5OH, POLICE REFERENCE",N,Y,Approved
DC2HTTR,1,,"LOOKS LIKE IT COULD BE DICK TO HIT HER, SEXUAL REFERENCE. HTTR COULD BE HITTER AND THAT CAN BE HOSTILE",N,Y,Approved
FLYTRSK,2,I AM IN FLIGHT SCHOOL,FLIGHT RISK IS REFERING TO A PERSON WHO MIGHT FLEE THE COUNTRY BEFORE A CRIMINAL TRIAL,N,Y,Approved
GNBEATU,2,,"GONNA BEAT YOU, HOSTILE",N,Y,Approved
HUG88,2,,"88, GANG REFERENCE",N,Y,Approved
IFEC,3,,COULD BE I FUCK,N,Y,Approved
ILYMED,7D,WEDDING DAY,"I LOVE YOU MED, MEDICINE, DRUG REFERENCE",N,Y,Approved
IMXVI13,2,"IT MEANS I AM 16, AND 13. IT IS A FAMILY  TRADITION NUMBERS.","13, GANG REFERENCE",N,Y,Approved
INDACUT,7D,,COULD STAND FOR IN THE CUT BUT IS ALSO SOUNDS SIMILAR TO INDICA WHICH IS A TYPE OF MARIJUANA,N,Y,Approved
ISPARKU,7D,I SPARK YOU,"COULD BE TALKING ABOUT WEED, DRUG REFERENCE",N,Y,Approved
IWSHUWD,2,TRY AND TOP MY COOL BLACKED OUT CAR.,"I WISH YOU WOULD, HOSTILE PHRASE",N,Y,Approved
JERZY88,2,,"88, GANG REFERENCE",N,Y,Approved
KUSHKRW,7D,OUR LAST NAME IS KUSH AND WE HAVE 5 KIDS  WE CALL OUR CREW,LOOKS LIKE KUSH KREW. KUSH IS A SLANG WORK FOR MARIJUNA,N,Y,Approved
LUVTHEV,1,THE CAR IS A CADILLAC CTS-V  MOEDEL. SO IT MEANS LOVE THE V MODEL CTS,"LOVE THE V, V STANDS FOR VAGINA, SEXUAL REFERENCE",N,Y,Approved
MBBOSS,2,MY BABIES BOSS. WIFES CAR SHES THE BOSS OF MY CHILDREN.,"LOOKS LIKE MOB BOSS, GANG REFERENCE",N,Y,Approved
OGMOSTR,2,ORANGE MONSTER,"OG, GANG REFERENCE",N,Y,Approved
PHQDKHD,3,PHYSIQUE DUCK HEAD OREGON DUCKS FAN,"PHQ COULD STAND FOR FUCK AND DK COULD BE DICK, VULGAR TERMS",N,Y,Approved
PUMANN,3,PICK UP MANN,"PU SOUNDS LIKE POO, OFFENSIVE TERM",N,Y,Approved
RAYZ714,2,MODEL OF CAR AND YEAR OF CAR,AREA CODE,N,Y,Approved
ST35O,5,,"5O, POLICE REFERENCE",N,Y,Approved
SUPH8RZ,2,WHATS UP HATERS,"HATERS, HOSTILE TERM",N,Y,Approved
TIH2T43,2,"TIHTU TAE IS AN ANCIENT INDIAN MEANING FOR ""LUCK SHALL BE WITH YOU ON YOUR JOURNEY""",EAT SHIT BACKWARDS,N,Y,Approved
TRD3877,3,FAVORITE COMBINATION OF NUMBERS AND LETTERS,TRD IS SIMILAR TO TURD,N,Y,Approved
TRNROBR,2,,"TRAIN ROBBER, OFFENSIVE",N,Y,Approved
UMDBRUH,2,YOU MAD BRO,"U, HOSTILE",N,Y,Approved
ZTO13SS,2,ZT STANDS FOR ZERO TOLERANCE WHICH IS THE NAME OF MY FAVORITE FOLDING KNIFE OF WHICH I COLLECT. THE O13SS STANDS FOR A 2013 CAMARO SS WHICH IS  MY VEHICLE.,"13, GANG REFERENCE",N,Y,Approved
13EI3,2,,"13, GANG REFERENCE",N,Y,Approved
1313MBL,2,1313 MOCKINGBIRD LANE,"13, GANG REFERENCE",N,Y,Approved
3LOH22A,3,MY DEAD MOTHERS NICK NAME AND HER LUCKY NUMBER,ASSHOLE BACKWARDS,N,Y,Approved
8O5AUDI,2,WHERE I LIVE I DRIVE A AUDI,AREA CODE,N,Y,Approved
LKW88,2,LKW ARE INITIALS; 88 MEANS PROSPERITY IN  CHINESE,"88, GANG REFERENCE",N,Y,Approved
DLRBB,7D,LOVE DELIVER BABY,"DLR COULD STAND FOR DEALER, DRUG REFERENCE",N,Y,Approved
X2SEA,7D,JOY OF THE SEA,SOUNDS LIKE EXTACY WHICH IS A DRUG REFERENCE,N,Y,Approved
HEMIKLR,2,LEGENDARY DODGE MOTOR. MY GM IS BETTER.. THE SAMPLE DOESN'T SHOW THE 1/2 SPACE? IT HAS TO HAVE 1/2 SPACE OR I DON'T WANT IT. THANK YOU,"KLR STANDS FOR KILLER, HOSTILE TERM",N,Y,Approved
BUDLS1,7D,MY NAME LS1 IS MOTOR,"BUD, DRUG REFERENCE",N,Y,Approved
22ATRM2,3,SMARTY PANTS,SMART ASS BACKWARDS,N,Y,Approved
AGRD14,2,,"14, GANG REFERENCE",N,Y,Approved
BEBOP88,2,"I AM A PROFESSIONAL JAZZ/BEBOP PIANIST. A PIANO HAS 88 KEYS. HENCE: ""BEBOP 88"" SUGGESTS I AM A BEBOP PIANO PLAYER...AND A FAN OF BEBOP MUSIC. THANKS FOR YOUR CONSIDERATION",88 = HATE NUMBER,N,Y,Approved
DYNOKLR,2,DINOSAUR KILLER SINCE ITS A GAS GUZZLER AND I BROKE A SPEED DYNO METER WITH IT,DINO KILLER?,N,Y,Approved
EVIL 2,2,NAME FOR MY CUSTOM DUNE BUGGY.,TOO EVIL?,Y,N,invalid characters
GNSNHZS,5,COPS AND FIREFIGHTERS,GUNS N HOSES,N,Y,Approved
HEEM51O,2,HENRY AND EMMA 510 (CHILDREN NAMES AND AREA CODE),510 = AREA CODE,N,Y,Approved
JLEX31O,2,"MY NAME STARTS WITH J. I DRIVE A LEXUS, 310 IS MY AREA CODE",310 = AREA CODE,N,Y,Approved
LJ BLUE,2,"LJ IS MY GITL FRIEND'S NAME, BLUE IS HER FAVORITE COLOR",BLUE = GANG COLOR,Y,N,invalid characters
MAMABRZ,3,MY SONS NICKNAME IS BREEZY AND HIS FRIENDS CALL ME MAMA BREEZY,"""BRZ"", BREEZY/BEEZY CAN MEAN BITCH",N,Y,Approved
M13KSJ2,2,INITIALS,13 = GANG NUMBER,N,Y,Approved
NUTEDGE,1,NUTRITION EDGE CORPORATION,COULD HAVE SEXUAL CONNOTATION,N,Y,Approved
OSHMSTR,3,NICKNAME,"""OSH"" IS SHORT FOR OH SHIT",N,Y,Approved
POTUS 1,2,"""PRESIDENT OF THE UNITED STATES""",PRESIDENT OF THE UNITED STATES,Y,N,invalid characters
PPP CBH,7D,FAMILY INITIALS,"""PPP"" = PUFF PUFF PASS MARIJUANA REFERENCE",Y,N,invalid characters
RKTNPKT,1,PERSONAL ACRONYM,ROCKET IN POCKET,N,Y,Approved
SMOKEUN,7D,HUSBAND RETIRED FIREMAN. CAR IS GRAY THAT LOOKS LIKE SMOKE.,"SMOKIN, COULD BE DRUG REFERENCE",N,Y,Approved
SRPG824,5,"SURFERPIG824, MY SON IS A SURFER AND RETIRED POLICE OFFICER.","SURF PIG, LAW ENFORCEMENT REFERENCE",N,Y,Approved
TACOSAS,1,TACO SAUSE,PULLED FOR TACO,N,Y,Approved
TACOWRX,1,I LOVE TACOS AND I DRIVE A WRX,PULLED FOR TACO,N,Y,Approved
TENGOP2,2,MEXICAN HUMOR,"TENGO = ""I HAVE"" IN SPANISH, ""I HAVE TO PEE""",N,Y,Approved
THEOGMB,2,THE OG MEAN I AM GETTING OLDER THE MB ARE MY ARE MY FIRST LAST NAME,OG = ORIGINAL GANGSTER,N,Y,Approved
V8 CAT,1,V8 CAT,PULLED FOR CAT,Y,N,invalid characters
WHRRUNR,2,4RUNNER,WHORE RUNNER?,N,Y,Approved
WHTBOII,2,NICKNAME,WHITE BOY,N,Y,Approved
WOODYRU,1,SUBARU WAGON WITH WOOD SIDNG,PULLED FOR WOODY,N,Y,Approved
XANAYAX,7D,MY LAST NAME,LOOKS SIMILAR TO XANAX (LAST NAME IS ANAYA),N,Y,Approved
YRN,2,YATCH RESOURCING NETWORK,"ACRONYM CAN MEAN ""YOUNG RICH NIGGA""",N,Y,Approved
1H8UALL,2,I HATE YOU ALL,I HATE YOU ALL,N,Y,Approved
1LILROD,1,ONE LITTLE HOT ROD,ROD CAN MEAN ERECTION,N,Y,Approved
13KH73B,2,MY FAVORITE NUMBER 13 AND MY BIRTH YEAR 73 AND INITIALS HB,13 = GANG NUMBER,N,Y,Approved
2 NVRDUI,2,PROMISE TO NVR DUI,PULLED FOR DUI,Y,N,invalid length
3IOHSSA,,"310 AREA CODE, AND INITIALS FOR CHILDREN AND NEPHEWS.",310 = AREA CODE,N,Y,Approved
831VALY,2,WHERE I AM FROM.,831 = AREA CODE,N,Y,Approved
9O S13,2,YEAR AND MODEL OF CAR,13 = GANG NUMBER,Y,N,invalid characters
SMOKI79,7D,79 MERCEDES DIESEL,SMOKEY CAN BE MARIJUANA REFERNCE,N,Y,Approved
